topN,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
200,23.846601247787476,3627,7,1.0,,,
200,24.42081570625305,3709,42,10.0,,,
,,,,,,,"End of iteration for  topN value 200
"
1,23.616692543029785,3668,42,7.0,,,
1,24.623573541641235,3707,8,2.0,,,
1,23.12782883644104,3626,2,1.0,,,
1,23.72827935218811,3705,36,8.0,,,
1,23.42011857032776,3669,9,2.0,,,
1,23.724029541015625,3691,46,10.0,,,
1,23.313107013702393,3629,7,1.0,,,
1,23.53478717803955,3667,18,3.0,,,
1,23.707306385040283,3695,86,15.0,,,
1,23.552713871002197,3667,43,9.0,,,
1,23.495084762573242,3667,19,4.0,,,
1,23.628607988357544,3692,27,7.0,,,
5,24.231635808944702,3669,11,3.0,,,
5,23.646328926086426,3667,8,2.0,,,
5,23.35729146003723,3628,0,0.0,,,
5,23.64694571495056,3667,29,6.0,,,
5,23.681899785995483,3668,1,1.0,,,
5,23.682008504867554,3668,43,8.0,,,
5,23.34593963623047,3628,8,2.0,,,
5,23.646836757659912,3667,22,4.0,,,
5,23.81059980392456,3693,19,5.0,,,
5,23.910085439682007,3707,24,5.0,,,
5,23.324732542037964,3627,21,4.0,,,
5,25.700895071029663,3709,40,10.0,,,
10,24.02741813659668,3667,0,0.0,,,
10,24.7085964679718,3667,42,8.0,,,
10,23.57992672920227,3627,11,3.0,,,
10,23.725399494171143,3668,13,2.0,,,
10,23.71665072441101,3667,47,8.0,,,
10,23.5510733127594,3667,12,3.0,,,
10,23.73602604866028,3651,41,5.0,,,
10,23.82609510421753,3666,17,3.0,,,
10,23.65792226791382,3669,21,6.0,,,
10,23.671950578689575,3669,20,5.0,,,
10,23.531522750854492,3628,3,2.0,,,
10,23.782245635986328,3669,27,6.0,,,
20,23.83827829360962,3666,11,2.0,,,
20,23.67824101448059,3668,11,4.0,,,
20,23.78748321533203,3651,22,4.0,,,
20,23.870084047317505,3666,7,2.0,,,
20,23.767615795135498,3668,9,2.0,,,
20,23.631153106689453,3670,10,3.0,,,
20,23.37306547164917,3627,33,6.0,,,
20,23.67269253730774,3669,45,8.0,,,
20,24.060810565948486,3707,36,8.0,,,
20,23.76043963432312,3658,30,6.0,,,
20,23.645644664764404,3668,31,6.0,,,
20,23.785834550857544,3667,22,5.0,,,
30,23.769287586212158,3669,37,6.0,,,
30,23.743706226348877,3665,19,3.0,,,
30,23.484376430511475,3628,12,2.0,,,
30,23.962716817855835,3668,8,2.0,,,
30,23.84878921508789,3667,13,3.0,,,
30,23.74878978729248,3668,41,6.0,,,
30,23.40599012374878,3628,5,1.0,,,
30,23.901647567749023,3668,26,6.0,,,
30,24.225408792495728,3667,18,4.0,,,
30,24.043931245803833,3669,21,6.0,,,
30,24.146875381469727,3628,7,1.0,,,
30,24.365822792053223,3668,9,2.0,,,
40,23.747435569763184,3668,13,3.0,,,
40,23.748761653900146,3667,20,5.0,,,
40,23.381500005722046,3626,30,6.0,,,
40,23.866520643234253,3667,11,3.0,,,
40,23.836925983428955,3669,28,5.0,,,
40,23.68356442451477,3668,19,4.0,,,
40,23.52055335044861,3629,6,2.0,,,
40,23.776493549346924,3667,9,2.0,,,
40,24.266419172286987,3707,49,8.0,,,
40,23.9811270236969,3694,32,6.0,,,
40,23.460225105285645,3630,13,2.0,,,
40,23.832850694656372,3668,14,3.0,,,
50,23.867889881134033,3668,37,6.0,,,
50,23.836196184158325,3667,8,1.0,,,
50,23.554097414016724,3628,13,2.0,,,
50,23.8505117893219,3666,41,7.0,,,
