β,lap_time,whileloop_count,collision_count,crash_rate,Avg.Speed,Max.Speed,Note
15,26.308545351028442,3566,6,4.0,,,
15,27.092034578323364,3609,16,5.0,,,
15,39.02490735054016,5092,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 15
"
20,26.02975082397461,3633,4,1.0,,,
20,26.017996311187744,3606,8,3.0,,,
20,25.582697868347168,3565,14,6.0,,,
20,27.085957527160645,3616,1,1.0,,,
20,27.140093564987183,3604,19,7.0,,,
20,26.19317626953125,3644,2,2.0,,,
20,25.815821409225464,3584,11,4.0,,,
20,25.831668376922607,3585,14,6.0,,,
20,25.989891290664673,3610,6,3.0,,,
20,26.112757921218872,3628,5,3.0,,,
20,25.842161417007446,3586,6,3.0,,,
20,25.749741554260254,3602,27,10.0,,,
20,36.707703590393066,5108,0,0.0,,,
,,,,,,,"End of iteration for move_speed index 0, β value 20
"
25,25.74783682823181,3580,4,3.0,,,
25,25.874465227127075,3601,1,1.0,,,
25,25.878751039505005,3568,1,1.0,,,
25,26.121989965438843,3567,2,2.0,,,
25,26.292393684387207,3607,4,2.0,,,
25,26.700044631958008,3623,6,3.0,,,
25,25.859960556030273,3565,20,7.0,,,
25,26.869445085525513,3650,13,5.0,,,
25,26.78531265258789,3611,4,3.0,,,
25,27.260153770446777,3606,2,2.0,,,
25,26.07474946975708,3573,18,7.0,,,
25,26.073487997055054,3607,6,4.0,,,
